Segment_No,sampEn_profile
1,3.597312260588445
1,2.220427474415891
1,1.869186276557984
1,1.579470922698556
1,1.3689867736031978
1,1.199691975870778
1,1.0646550282377791
1,0.9723113540322674
1,0.8905680762742543
1,0.8226119588834351
1,0.7679881341113896
1,0.725064257830065
1,0.6868541739652326
1,0.6485034068200504
1,0.6189991370792575
1,0.5909421543256197
1,0.5673686426085688
1,0.5452950634262511
1,0.5242511668360048
1,0.5051764492030724
1,0.48560990534176074
1,0.4674207413550262
1,0.4523024564584912
1,0.43670042345111615
1,0.42246311098369527
1,0.4087336686843529
1,0.39516497226214153
1,0.382633405627525
1,0.3705736977930797
1,0.3580322914558116
1,0.34687411876808644
1,0.3356596227122539
1,0.32531694974651115
1,0.3152419354985986
1,0.3052936912864932
1,0.2950951713653073
1,0.28607102844404625
1,0.2772478213279834
1,0.26868926608434646
1,0.2606389475398374
1,0.25228348964986785
1,0.24445057158929007
1,0.23716570109978338
1,0.23005348269394768
1,0.22344824535650817
1,0.21694442498697325
1,0.21049469046277597
1,0.20451390480162054
1,0.198809903690181
1,0.19327100221427523
1,0.18810675588493314
1,0.18302941367561473
1,0.1780908370747162
1,0.17342790099376998
1,0.16868758884608204
1,0.16453415439414978
1,0.16025991240253423
1,0.15611247014366983
1,0.1520799202761117
1,0.148457902393482
1,0.14473420556436056
1,0.14115037197320787
1,0.1376806854097935
1,0.13431029807271422
1,0.1310734982789542
1,0.12790896396579413
1,0.12484632789205427
1,0.12199093927544162
1,0.1191659809134275
1,0.11645142671510328
1,0.11390110032917976
1,0.11129405201478261
1,0.10897113680847587
1,0.10664070328927515
1,0.10426237737113377
1,0.1019663416858207
1,0.09966811865587337
1,0.09741433468026661
1,0.09538908277459696
1,0.09345421722830924
1,0.09156775241768465
1,0.08972732440304748
1,0.0878998071062732
1,0.08609653383575917
1,0.08431812234738992
1,0.08269134566864741
1,0.0810823650505097
1,0.07959977464339432
1,0.07802881645426749
1,0.0763851581457047
1,0.07491152341855405
1,0.07345853937298119
1,0.07200288954981386
1,0.07069409573859253
1,0.06937204081521753
1,0.06792476017506362
1,0.0666130439037582
1,0.06525295741731751
1,0.06409892911803514
1,0.06295609942359714
1,0.06178292079898371
1,0.060598850915331584
1,0.059517318470255966
1,0.05835759249576908
1,0.05726222884938702
1,0.05606271303651363
1,0.05502273990027159
1,0.05399851159646086
1,0.052925239570100244
1,0.051990624317568145
1,0.05102594900333658
1,0.05011123460146263
1,0.04921895807738507
1,0.04829927695197983
1,0.04738656191415384
1,0.04653486882297194
1,0.045666372055880616
1,0.04482941263005473
1,0.04412251295618274
1,0.043317575164696455
